name,imo,flag
WHITE WHALE‡,9230426,PANAMA
WILMA II,9247431,PANAMA
WORLD PERFORMANCE,9301005,COOK ISLANDS
WORLD PROGRESS,9300996,COOK ISLANDS
XAVIA,9052331,SAO TOME &amp; PRINCIPE (FALSE)
XENIA S,9165542,TANZANIA
XI XIU,9233789,
XIDI,9294290,PANAMA
Y L W,9360398,COOK ISLANDS
YAMUNA,9572111,UNKNOWN
YEHOPE,9243320,
YI TONG,9259733,PANAMA
YOKO 1,9241085,
YOLANDA,9255945,PANAMA
YONG CHANG SHUN HANG,9226009,MARSHALL ISLANDS
YONG TAI,9231511,PANAMA
YONG XIANG 29‡,8744107,CHINA
YONGAN OCEAN,9288758,PANAMA
YQ HARMONY,9258612,
YU I,9134165,GABON
YUAN QI,9271406,CURACAO (FALSE)
YUG,9288875,UNKNOWN
YUHAN,9208112,PANAMA
YULIN,9231224,
ZENITH FAITH,9387152,COOK ISLANDS
ZEVS,9168946,CAMEROON
ZHEN ZHU,9290359,
ZIXUAN,9317298,
ZULU,9018464,GUYANA (FALSE)
